Name,Zipcode,CoEd,Wheelchair Access,24HR Support
Clearbrook,60521,,No,
Clearbrook,60523,,No,
Clearbrook,60525,,No,
Clearbrook,60563,,No,
Clearbrook,60586,,No,
Clearbrook,60616,,No,
Clearbrook,60618,,No,
Clearbrook,60630,,No,
Clearbrook,60645,Male,No,Yes
Clearbrook,60645,Male,No,Yes
Clearbrook,60651,,No,
Clearbrook,60659,,No,
Clearbrook,60706,,No,
Coleman Tri-Co. Svcs.,62821,Female,Yes,Yes
Coleman Tri-Co. Svcs.,62930,,No,
Coleman Tri-Co. Svcs.,62930,,No,
Coleman Tri-Co. Svcs.,62930,Male,Yes,Yes
Coleman Tri-Co. Svcs.,62930,,No,
Coleman Tri-Co. Svcs.,62946,Co-Ed,Yes,Yes
Coleman Tri-Co. Svcs.,62946,,No,
Coleman Tri-Co. Svcs.,62946,,No,
Coleman Tri-Co. Svcs.,62946,,No,
Coleman Tri-Co. Svcs.,62946,Female,Yes,Yes
Coleman Tri-Co. Svcs.,62946,Male,Yes,Yes
Coleman Tri-Co. Svcs.,62946,Female,Yes,Yes
Coleman Tri-Co. Svcs.,62946,Co-Ed,Yes,Yes
Coleman Tri-Co. Svcs.,62984,,No,
Community Alternatives Illinois,60901,Female,No,Yes
Community Alternatives Illinois,60901,Female,No,Yes
Community Alternatives Illinois,60901,Male,No,Yes
Community Alternatives Illinois,60901,Male,No,Yes
Community Alternatives Illinois,60901,,Yes,
Community Alternatives Illinois,60901,Male,No,Yes
Community Alternatives Illinois,60901,Female,No,Yes
Community Alternatives Illinois,60914,Co-Ed,No,Yes
Community Alternatives Illinois,60914,Male,No,Yes
Community Alternatives Illinois,61554,Male,No,Yes
Community Alternatives Illinois,61554,,No,
Community Alternatives Illinois,61554,,No,
Community Alternatives Illinois,61604,,Yes,
Community Alternatives Illinois,61604,Male,Yes,Yes
Community Alternatives Illinois,61604,Male,Yes,Yes
Community Alternatives Illinois,61614,Male,Yes,Yes
Community Alternatives Illinois,61614,Male,No,Yes
Community Alternatives Illinois,61614,,Yes,
Community Alternatives Illinois,61615,,No,
Community Alternatives Illinois,61738,,No,
Community Alternatives Illinois,61832,Co-Ed,Yes,Yes
Community Alternatives Illinois,61832,Male,Yes,Yes
Community Alternatives Illinois,61832,Male,No,Yes
Community Alternatives Illinois,61832,Female,No,Yes
Community Alternatives Illinois,61832,Female,No,Yes
Community Alternatives Illinois,61832,Female,Yes,Yes
Community Alternatives Illinois,61832,Female,Yes,Yes
Community Alternatives Illinois,61832,Male,Yes,Yes
Community Alternatives Illinois,61832,Male,No,Yes
Community Alternatives Illinois,61832,Male,No,Yes
Community Alternatives Illinois,61832,Male,No,Yes
Community Alternatives Illinois,61832,Female,No,Yes
Community Alternatives Illinois,61832,Female,No,Yes
Community Alternatives Illinois,61832,Co-Ed,No,Yes
Community Alternatives Illinois,61833,Female,Yes,Yes
Community Alternatives Illinois,62417,Co-Ed,No,Yes
Community Alternatives Illinois,62439,Co-Ed,No,Yes
Community Alternatives Illinois,62439,Co-Ed,No,Yes
Community Alternatives Illinois,62450,Female,Yes,Yes
Community Alternatives Illinois,62450,Co-Ed,Yes,Yes
Community Alternatives Illinois,62450,Co-Ed,Yes,Yes
Community Alternatives Illinois,62450,,No,
Community Alternatives Illinois,62801,Male,No,Yes
Community Alternatives Illinois,62801,,No,
Community Alternatives Illinois,62801,Male,No,Yes
Community Alternatives Illinois,62801,Female,Yes,Yes
Community Alternatives Illinois,62858,Male,No,Yes
Community Alternatives Illinois,62864,Male,No,Yes
Community Alternatives Illinois,62901,Male,Yes,Yes
Community Alternatives Illinois,62901,Male,Yes,Yes
Community Alternatives Illinois,62906,Male,Yes,Yes
Community Alternatives Illinois,62906,Co-Ed,Yes,Yes
Community Alternatives Illinois,62906,Male,Yes,Yes
Community Alternatives Illinois,62924,Male,Yes,Yes
Community Alternatives Illinois,62924,Male,Yes,Yes
Community Alternatives Illinois,62966,Female,Yes,Yes
Community Alternatives Illinois,62966,,Yes,
Community Alternatives Illinois,62966,Female,Yes,Yes
"Community Integrated Living, Inc.",62906,Co-Ed,Yes,Yes
"Community Integrated Living, Inc.",62906,Co-Ed,Yes,Yes
"Community Integrated Living, Inc.",62906,Male,No,Yes
"Community Integrated Living, Inc.",62906,Female,No,Yes
"Community Integrated Living, Inc.",62906,Co-Ed,Yes,Yes
"Community Integrated Living, Inc.",62906,Co-Ed,Yes,Yes
"Community Integrated Living, Inc.",62906,Co-Ed,Yes,Yes
Community Living Options,61401,Co-Ed,Yes,Yes
Community Living Options,61727,Co-Ed,Yes,Yes
Community Living Options,61727,Co-Ed,Yes,Yes
Community Living Options,62650,Co-Ed,Yes,Yes
Community Support Svcs.,60153,,No,
Community Support Svcs.,60154,Female,No,Yes
Community Support Svcs.,60155,,No,
Community Support Svcs.,60160,,No,
Community Support Svcs.,60164,,No,
Community Support Svcs.,60305,,No,
Community Support Svcs.,60402,,No,
Community Support Svcs.,60455,Female,Yes,Yes
Community Support Svcs.,60455,,No,
Community Support Svcs.,60455,,No,
Community Support Svcs.,60458,Female,Yes,Yes
Community Support Svcs.,60501,Co-Ed,Yes,Yes
Community Support Svcs.,60513,Male,Yes,Yes
Community Support Svcs.,60513,,No,
Community Support Svcs.,60525,,No,
Community Support Svcs.,60525,,No,
Community Support Svcs.,60534,Male,Yes,Yes
Community Support Svcs.,60534,Male,Yes,Yes
Community Support Svcs.,60534,,No,
Community Support Svcs.,60546,,No,
Community Support Systems,62401,Co-Ed,Yes,Yes
Community Support Systems,62401,,No,
Community Support Systems,62401,Male,No,Yes
Community Support Systems,62401,,No,
Community Support Systems,62401,,No,
Community Support Systems,62401,,No,
Community Support Systems,62401,,No,
Community Support Systems,62402,,No,
Community Support Systems,62411,,No,
Community Support Systems,62467,Co-Ed,No,Yes
Community Support Systems,62467,,No,
Community Support Systems,62467,,No,
Community Support Systems,62467,Male,No,Yes
Community Workshop and Training Center,61603,Co-Ed,Yes,Yes
Community Workshop and Training Center,61603,Male,Yes,Yes
Community Workshop and Training Center,61605,Co-Ed,Yes,Yes
Compassion CILA Homes Inc,60466,Co-Ed,No,Yes
Cornerstone Services,60403,Co-Ed,Yes,Yes
Cornerstone Services,60404,Female,No,Yes
Cornerstone Services,60404,Male,Yes,Yes
Cornerstone Services,60404,Co-Ed,Yes,Yes
Cornerstone Services,60404,Male,Yes,Yes
Cornerstone Services,60404,Male,Yes,Yes
Cornerstone Services,60410,Male,Yes,Yes
Cornerstone Services,60410,Male,Yes,Yes
Cornerstone Services,60430,,No,
Cornerstone Services,60431,Co-Ed,Yes,Yes
Cornerstone Services,60431,Female,Yes,Yes
Cornerstone Services,60431,Male,Yes,Yes
Cornerstone Services,60432,Male,No,Yes
Cornerstone Services,60432,,No,
Cornerstone Services,60435,,No,
Cornerstone Services,60435,Male,Yes,Yes
Cornerstone Services,60435,Female,Yes,Yes
Cornerstone Services,60435,Female,Yes,Yes
Cornerstone Services,60435,,Yes,
Cornerstone Services,60435,,Yes,
Cornerstone Services,60435,Co-Ed,Yes,Yes
Cornerstone Services,60435,Female,Yes,Yes
Cornerstone Services,60435,,No,
Cornerstone Services,60435,Male,Yes,Yes
Cornerstone Services,60435,,No,
Cornerstone Services,60435,Female,Yes,Yes
Cornerstone Services,60435,,No,
Cornerstone Services,60435,,No,
Cornerstone Services,60435,,No,
Cornerstone Services,60435,,No,
Cornerstone Services,60435,,No,
Cornerstone Services,60435,,No,
Cornerstone Services,60435,,No,
Cornerstone Services,60435,,No,
Cornerstone Services,60435,Male,No,Yes
Cornerstone Services,60435,Male,Yes,Yes
Cornerstone Services,60435,,No,
Cornerstone Services,60435,,No,
Cornerstone Services,60435,Co-Ed,No,No
Cornerstone Services,60435,,No,
Cornerstone Services,60435,,No,
Cornerstone Services,60436,Male,Yes,Yes
Cornerstone Services,60436,,No,
Cornerstone Services,60436,,No,
Cornerstone Services,60436,,No,
Cornerstone Services,60436,,No,
Cornerstone Services,60436,,No,
Cornerstone Services,60436,,No,
Cornerstone Services,60436,,No,
Cornerstone Services,60436,,No,
Cornerstone Services,60441,,No,
Cornerstone Services,60442,Male,No,Yes
Cornerstone Services,60447,Male,No,Yes
Cornerstone Services,60451,Female,Yes,Yes
Cornerstone Services,60544,Co-Ed,Yes,Yes
Cornerstone Services,60586,Female,Yes,Yes
Cornerstone Services,60586,Male,Yes,Yes
Cornerstone Services,60586,Male,Yes,Yes
Cornerstone Services,60586,Female,Yes,Yes
Cornerstone Services,60586,Female,No,Yes
Cornerstone Services,60901,,No,
Cornerstone Services,60901,,No,
Cornerstone Services,60914,Male,No,Yes
Cornerstone Services,60914,Female,No,Yes
Covenant Enabling Residences,60452,Male,No,Yes
Covenant Enabling Residences,60452,Female,No,Yes
Covenant Enabling Residences,60452,Male,No,Yes
CRA Incorporated,62656,Co-Ed,No,Yes
Cross Point Human Services,61832,Co-Ed,No,Yes
CTF Illinois,60411,Co-Ed,No,Yes
CTF Illinois,60411,Male,No,Yes
CTF Illinois,60417,Co-Ed,No,Yes
CTF Illinois,60417,Male,Yes,Yes
CTF Illinois,60422,Male,No,Yes
CTF Illinois,60423,Male,No,Yes
CTF Illinois,60430,Female,Yes,Yes
CTF Illinois,60461,Male,No,Yes
CTF Illinois,60466,Female,No,Yes
CTF Illinois,60466,Male,No,Yes
CTF Illinois,60471,Female,Yes,Yes
CTF Illinois,60478,Co-Ed,Yes,Yes
CTF Illinois,60478,Male,Yes,Yes
CTF Illinois,61821,Co-Ed,No,Yes
CTF Illinois,61920,Co-Ed,No,Yes
CTF Illinois,61920,Male,Yes,Yes
CTF Illinois,61920,Female,Yes,Yes
CTF Illinois,61920,Male,Yes,Yes
CTF Illinois,61920,Female,Yes,Yes
CTF Illinois,61920,Male,Yes,Yes
CTF Illinois,61920,Co-Ed,Yes,Yes
CTF Illinois,61920,Co-Ed,Yes,Yes
CTF Illinois,61920,Male,Yes,Yes
CTF Illinois,61920,,No,
CTF Illinois,61920,,No,
CTF Illinois,61920,,No,
CTF Illinois,61920,,No,
CTF Illinois,61920,,No,
CTF Illinois,61920,,No,
CTF Illinois,61920,,No,
CTF Illinois,61938,Co-Ed,No,Yes
CTF Illinois,61938,Female,No,Yes
CTF Illinois,61938,Male,No,Yes
CTF Illinois,61938,Male,No,Yes
CTF Illinois,62450,Co-Ed,No,Yes
CTF Illinois,62450,Co-Ed,Yes,Yes
CTF Illinois,62656,Co-Ed,Yes,Yes
CTF Illinois,62656,Male,No,Yes
CTF Illinois,62656,Co-Ed,Yes,Yes
CTF Illinois,62656,Male,No,No
CTF Illinois,62656,Male,No,Yes
CTF Illinois,62656,Male,No,Yes
"CubBull, Inc.",61520,,No,
Developmental Foundations,61910,Female,Yes,Yes
Developmental Foundations,61920,Co-Ed,Yes,Yes
Developmental Foundations,61920,Co-Ed,Yes,Yes
Developmental Foundations,61920,Co-Ed,Yes,Yes
Developmental Foundations,61920,Co-Ed,Yes,Yes
Developmental Foundations,61920,Male,Yes,Yes
Developmental Foundations,61920,Co-Ed,Yes,Yes
Developmental Foundations,61920,Male,Yes,Yes
Developmental Foundations,61920,,No,
Developmental Foundations,61938,Co-Ed,Yes,Yes
Developmental Foundations,61938,Male,Yes,Yes
Developmental Foundations,61938,,No,
Developmental Foundations,61938,,No,
Developmental Services Ctr.,61801,Co-Ed,Yes,Yes
Developmental Services Ctr.,61802,Co-Ed,Yes,Yes
Developmental Services Ctr.,61802,,No,
Developmental Services Ctr.,61821,Male,No,Yes
Developmental Services Ctr.,61821,,No,
Developmental Services Ctr.,61821,Co-Ed,Yes,Yes
Developmental Services Ctr.,61821,Co-Ed,No,Yes
Developmental Services Ctr.,61822,Female,Yes,Yes
Developmental Services Ctr.,61822,Male,No,Yes
Developmental Services Ctr.,61866,Co-Ed,Yes,Yes
"Devora's Dream, Inc.",60091,,No,
Diane's Home Care,60016,Co-Ed,Yes,Yes
Diane's Home Care,60016,Female,No,Yes
Diane's Home Care,60076,Female,Yes,Yes
Diane's Home Care,60076,Male,No,Yes
Diane's Home Care,60076,Male,Yes,Yes
Diane's Home Care,60076,Male,Yes,Yes
Diane's Home Care,60076,Male,No,Yes
Diane's Home Care,60076,,No,
Diane's Home Care,60077,Co-Ed,No,Yes
Diane's Home Care,60630,Co-Ed,No,Yes
Diane's Home Care,60712,,No,
Divine Center,60409,Co-Ed,No,Yes
Divine Center,60617,,No,
"Dominion CILA Homes, Inc.",60422,Co-Ed,No,Yes
"Dominion CILA Homes, Inc.",60422,Female,No,Yes
"Dominion CILA Homes, Inc.",60478,Male,No,Yes
Dubois-Douglas Centres,60411,Male,No,Yes
Dubois-Douglas Centres,60411,Co-Ed,No,Yes
Dubois-Douglas Centres,60617,Co-Ed,Yes,Yes
Dubois-Douglas Centres,60617,Male,No,Yes
Dubois-Douglas Centres,60617,Co-Ed,No,Yes
Dubois-Douglas Centres,60617,Male,No,Yes
Dubois-Douglas Centres,60628,Female,No,Yes
Dubois-Douglas Centres,60628,Male,No,Yes
Dubois-Douglas Centres,60649,Male,No,Yes
Easter Seals Joliet Region Inc,60403,Male,No,Yes
Easter Seals Joliet Region Inc,60404,Female,Yes,Yes
Easter Seals Joliet Region Inc,60404,Male,No,Yes
Easter Seals Joliet Region Inc,60431,Female,No,Yes
Easter Seals Joliet Region Inc,60433,Co-Ed,Yes,Yes
Easter Seals Joliet Region Inc,60435,Male,No,Yes
Easter Seals Joliet Region Inc,60435,Female,No,Yes
Easter Seals Joliet Region Inc,60435,,Yes,
Easter Seals Joliet Region Inc,60435,Female,No,Yes
Easter Seals Joliet Region Inc,60436,Female,Yes,Yes
Easter Seals Joliet Region Inc,60441,Female,Yes,Yes
Easter Seals Joliet Region Inc,60446,,No,
Easter Seals Joliet Region Inc,60447,,No,
Easter Seals Joliet Region Inc,60544,,No,
Easter Seals Joliet Region Inc,60585,Co-Ed,Yes,Yes
El Valor,60402,Male,No,Yes
El Valor,60608,Female,No,Yes
El Valor,60608,Male,No,Yes
El Valor,60622,,No,
El Valor,60623,Co-Ed,No,Yes
El Valor,60632,,No,
El Valor,60804,Female,No,Yes
Elm City Center,62650,Male,No,Yes
Elm City Center,62650,Female,No,Yes
Elm City Center,62650,Co-Ed,Yes,Yes
Envision Unlimited,60053,,No,
Envision Unlimited,60053,Female,No,Yes
Envision Unlimited,60077,,No,
Envision Unlimited,60202,,No,
Envision Unlimited,60409,,No,
Envision Unlimited,60426,,No,
Envision Unlimited,60609,,No,
Envision Unlimited,60615,,No,
Envision Unlimited,60617,Female,No,Yes
Envision Unlimited,60617,,Yes,
Envision Unlimited,60617,,No,
Envision Unlimited,60619,,No,
Envision Unlimited,60619,,No,
Envision Unlimited,60620,,No,
Envision Unlimited,60620,,No,
Envision Unlimited,60621,,No,
Envision Unlimited,60621,,No,
Envision Unlimited,60626,,No,
Envision Unlimited,60626,,No,
Envision Unlimited,60626,Female,No,Yes
Envision Unlimited,60626,Co-Ed,No,Yes
Envision Unlimited,60628,,No,
Envision Unlimited,60628,,No,
Envision Unlimited,60628,,No,
Envision Unlimited,60628,,No,
Envision Unlimited,60629,Co-Ed,No,Yes
Envision Unlimited,60629,,No,
Envision Unlimited,60629,,No,
Envision Unlimited,60629,,No,
Envision Unlimited,60629,Male,No,Yes
Envision Unlimited,60630,Male,No,Yes
Envision Unlimited,60630,Male,No,Yes
Envision Unlimited,60631,Male,No,Yes
Envision Unlimited,60634,Male,No,Yes
Envision Unlimited,60634,Co-Ed,No,Yes
Envision Unlimited,60637,,No,
Envision Unlimited,60637,,No,
Envision Unlimited,60637,,No,
Envision Unlimited,60637,,No,
Envision Unlimited,60637,,No,
Envision Unlimited,60637,,No,
Envision Unlimited,60637,Male,No,No
Envision Unlimited,60639,,No,
Envision Unlimited,60639,Male,No,Yes
Envision Unlimited,60639,Female,No,Yes
Envision Unlimited,60641,,No,
Envision Unlimited,60641,Male,No,Yes
Envision Unlimited,60641,,No,
Envision Unlimited,60641,Female,No,Yes
Envision Unlimited,60643,Co-Ed,No,Yes
Envision Unlimited,60643,Male,No,Yes
Envision Unlimited,60643,,No,
Envision Unlimited,60645,Male,No,Yes
Envision Unlimited,60645,,No,
Envision Unlimited,60645,,No,
Envision Unlimited,60645,Female,No,No
Envision Unlimited,60647,Male,Yes,Yes
Envision Unlimited,60647,Co-Ed,No,Yes
Envision Unlimited,60652,Male,No,Yes
Envision Unlimited,60652,Co-Ed,No,Yes
Envision Unlimited,60652,Co-Ed,No,Yes
Envision Unlimited,60652,Male,No,Yes
Envision Unlimited,60652,Male,No,Yes
Envision Unlimited,60652,Male,No,Yes
Envision Unlimited,60652,Male,No,Yes
Envision Unlimited,60652,Male,No,Yes
Envision Unlimited,60652,Male,No,Yes
Envision Unlimited,60652,Male,No,Yes
Envision Unlimited,60652,Male,No,Yes
Envision Unlimited,60652,Co-Ed,No,Yes
Envision Unlimited,60652,,No,
Envision Unlimited,60655,Female,No,Yes
Envision Unlimited,60659,Male,No,Yes
Envision Unlimited,60659,Co-Ed,No,Yes
Envision Unlimited,60659,Female,No,Yes
Envision Unlimited,60805,Male,No,Yes
Envision Unlimited,60805,Female,No,Yes
Envision Unlimited,60805,Male,No,Yes
Envision Unlimited,60805,,No,
Envision Unlimited,60827,,No,
EPIC,61401,,No,
EPIC,61491,,No,
EPIC,61491,,No,
EPIC,61520,,No,
EPIC,61529,,No,
EPIC,61550,,No,
EPIC,61550,,No,
EPIC,61554,,No,
EPIC,61554,,No,
EPIC,61554,,No,
EPIC,61554,,No,
EPIC,61554,,No,
EPIC,61554,Co-Ed,No,No
EPIC,61571,,No,
EPIC,61571,,No,
EPIC,61603,Co-Ed,Yes,Yes
EPIC,61603,,No,
EPIC,61604,Co-Ed,Yes,Yes
EPIC,61604,Female,Yes,Yes
EPIC,61604,Co-Ed,Yes,Yes
EPIC,61604,Male,Yes,Yes
EPIC,61604,,No,
EPIC,61604,,No,
EPIC,61604,,No,
EPIC,61604,,No,
EPIC,61604,Male,Yes,Yes
EPIC,61604,,No,
EPIC,61604,,No,
EPIC,61604,,No,
EPIC,61604,,No,
EPIC,61604,,No,
EPIC,61604,,No,
EPIC,61604,,No,
EPIC,61604,,No,
EPIC,61605,,No,
EPIC,61605,,No,
EPIC,61605,,No,
EPIC,61605,,No,
EPIC,61606,,No,
EPIC,61607,,No,
EPIC,61607,,No,
EPIC,61610,,No,
EPIC,61611,Female,Yes,Yes
EPIC,61611,Co-Ed,Yes,Yes
EPIC,61611,Co-Ed,Yes,Yes
EPIC,61611,Co-Ed,Yes,Yes
EPIC,61611,,No,
EPIC,61611,,No,
EPIC,61611,,No,
EPIC,61611,,No,
EPIC,61614,Co-Ed,Yes,Yes
EPIC,61614,Co-Ed,Yes,Yes
EPIC,61614,Female,Yes,Yes
EPIC,61614,Co-Ed,No,No
EPIC,61614,,No,
EPIC,61614,,No,
EPIC,61614,,No,
EPIC,61614,,No,
EPIC,61615,Female,Yes,Yes
EPIC,61615,Co-Ed,Yes,Yes
EPIC,61615,Co-Ed,Yes,Yes
EPIC,61615,,No,
EPIC,61615,,No,
EPIC,61615,,No,
EPIC,61615,,No,
EPIC,61615,,No,
EPIC,61615,,No,
EPIC,62208,,No,
EPIC,62208,,No,
EPIC,62220,,No,
EPIC,62221,,No,
EPIC,62221,,No,
EPIC,62223,,No,
EPIC,62226,,No,
EPIC,62260,,No,
EPIC,62260,,No,
EPIC,62269,,No,
EPIC,62540,,No,
EPIC,62644,,No,
EPIC,62644,,No,
EPIC,62650,,No,
EPIC,62701,,No,
EPIC,62702,,No,
EPIC,62702,,No,
EPIC,62703,,No,
EPIC,62703,,No,
Epilepsy Foundation of SW Illinois,62220,Co-Ed,Yes,Yes
Epilepsy Foundation of SW Illinois,62220,,No,
Epilepsy Foundation of SW Illinois,62221,,Yes,
Epilepsy Foundation of SW Illinois,62221,Co-Ed,Yes,Yes
Epilepsy Foundation of SW Illinois,62221,Male,No,Yes
Epilepsy Foundation of SW Illinois,62221,,No,
Epilepsy Foundation of SW Illinois,62221,,No,
Esperanza Community Svcs.,60618,Female,No,Yes
Esperanza Community Svcs.,60641,Male,No,Yes
Esperanza Community Svcs.,60641,Female,No,Yes
Esperanza Community Svcs.,60647,,No,
Families Building Dreams,60085,Male,No,Yes
Families Building Dreams,60085,Male,No,Yes
Families Building Dreams,60087,Male,No,Yes
Families Building Dreams,60087,Co-Ed,Yes,Yes
"Family Association Plus, Inc.",60426,Co-Ed,No,Yes
Family Counseling Ctr.,62922,,No,
Family Counseling Ctr.,62922,,No,
Family Counseling Ctr.,62931,Co-Ed,Yes,Yes
Family Counseling Ctr.,62938,Co-Ed,Yes,Yes
Family Counseling Ctr.,62938,Co-Ed,Yes,Yes
Family Counseling Ctr.,62938,Co-Ed,Yes,Yes
Family Counseling Ctr.,62943,,No,
Family Counseling Ctr.,62982,Co-Ed,Yes,Yes
FayCo. Enterprises,62049,Co-Ed,Yes,Yes
FayCo. Enterprises,62246,Co-Ed,No,Yes
FayCo. Enterprises,62246,Co-Ed,No,Yes
FayCo. Enterprises,62246,Female,No,No
FayCo. Enterprises,62246,Co-Ed,Yes,Yes
FayCo. Enterprises,62246,,No,
FayCo. Enterprises,62471,,Yes,
FayCo. Enterprises,62471,Co-Ed,Yes,Yes
FayCo. Enterprises,62471,Female,Yes,Yes
FayCo. Enterprises,62471,Co-Ed,Yes,Yes
FayCo. Enterprises,62471,Co-Ed,No,Yes
FayCo. Enterprises,62471,Female,No,Yes
Five Star Industries,62272,,No,
Five Star Industries,62272,,No,
Five Star Industries,62274,Female,Yes,Yes
Five Star Industries,62274,Co-Ed,No,Yes
Five Star Industries,62832,Co-Ed,No,Yes
Five Star Industries,62832,Co-Ed,No,Yes
Five Star Industries,62832,Female,No,Yes
Five Star Industries,62832,Co-Ed,Yes,Yes
Five Star Industries,62832,Co-Ed,No,Yes
Five Star Industries,62832,,No,
Five Star Industries,62832,Co-Ed,Yes,Yes
Five Star Industries,62832,,No,
Five Star Industries,62888,,No,
"Frances House, Inc.",61032,Co-Ed,Yes,Yes
"Frances House, Inc.",61081,Co-Ed,Yes,Yes
Futures Unlimited Inc,61764,Male,No,Yes
Futures Unlimited Inc,61764,Male,Yes,Yes
Futures Unlimited Inc,61764,Co-Ed,Yes,Yes
Futures Unlimited Inc,61764,Co-Ed,Yes,Yes
Futures Unlimited Inc,61764,Male,No,Yes
Futures Unlimited Inc,61764,Female,No,Yes
Garden Center Services,60415,Co-Ed,No,Yes
Garden Center Services,60415,Female,Yes,Yes
Garden Center Services,60453,Female,Yes,Yes
Garden Center Services,60453,Female,No,Yes
Garden Center Services,60459,Female,No,Yes
Garden Center Services,60459,Male,No,Yes
Garden Center Services,60459,,No,
Garden Center Services,60459,,No,
Garden Center Services,60459,,No,
Garden Center Services,60459,,No,
Garden Center Services,60482,Co-Ed,No,Yes
Garden Center Services,60559,Male,No,Yes
"Gateway Svcs., Inc.",61356,Male,No,Yes
"Gateway Svcs., Inc.",61356,Co-Ed,Yes,Yes
"Gateway Svcs., Inc.",61356,Male,Yes,Yes
"Gateway Svcs., Inc.",61356,Male,Yes,Yes
"Gateway Svcs., Inc.",61356,Female,No,No
"Gateway Svcs., Inc.",61356,,No,
"Gateway Svcs., Inc.",61356,,No,
"Gateway Svcs., Inc.",61356,,No,
"Gateway Svcs., Inc.",61356,Co-Ed,Yes,Yes
"Gateway Svcs., Inc.",61356,Female,No,Yes
"Gateway Svcs., Inc.",61537,,No,
Gentle Hands Rehab Inc,60471,Co-Ed,No,Yes
"Glen Brook of Vienna, Inc.",62995,Male,No,Yes
"Glen Brook of Vienna, Inc.",62995,Female,No,Yes
"Glen Brook of Vienna, Inc.",62995,Co-Ed,Yes,Yes
Glenkirk Assoc.,60004,Male,Yes,Yes
Glenkirk Assoc.,60004,Co-Ed,Yes,Yes
Glenkirk Assoc.,60004,Female,Yes,Yes
Glenkirk Assoc.,60007,,No,
Glenkirk Assoc.,60030,Female,No,Yes
Glenkirk Assoc.,60035,Male,No,Yes
Glenkirk Assoc.,60035,Male,No,Yes
Glenkirk Assoc.,60035,,No,
Glenkirk Assoc.,60035,,No,
Glenkirk Assoc.,60035,,No,
Glenkirk Assoc.,60035,,No,
Glenkirk Assoc.,60045,Male,Yes,Yes
Glenkirk Assoc.,60048,Female,No,Yes
Glenkirk Assoc.,60048,Male,No,Yes
Glenkirk Assoc.,60048,Male,Yes,Yes
Glenkirk Assoc.,60056,Co-Ed,No,Yes
Glenkirk Assoc.,60060,Female,Yes,Yes
Glenkirk Assoc.,60060,Male,No,Yes
Glenkirk Assoc.,60060,Male,No,Yes
Glenkirk Assoc.,60060,Male,No,Yes
Glenkirk Assoc.,60062,Co-Ed,Yes,Yes
Glenkirk Assoc.,60067,Male,Yes,Yes
Glenkirk Assoc.,60089,Co-Ed,No,Yes
Glenkirk Assoc.,60089,Female,No,Yes
Glenkirk Assoc.,60090,Co-Ed,No,Yes
Glenkirk Assoc.,60201,,No,
Goldie B. Floberg Ctr.,61016,Female,Yes,Yes
Goldie B. Floberg Ctr.,61072,Co-Ed,Yes,Yes
Goldie B. Floberg Ctr.,61080,Male,Yes,Yes
Goldie B. Floberg Ctr.,61108,Male,No,Yes
Goldie B. Floberg Ctr.,61108,Female,No,Yes
Goldie B. Floberg Ctr.,61108,Co-Ed,No,Yes
Goldie B. Floberg Ctr.,61109,Female,No,Yes
Goldie B. Floberg Ctr.,61111,Female,No,Yes
Goldie B. Floberg Ctr.,61111,Male,No,Yes
Goldie B. Floberg Ctr.,61114,Male,No,Yes
Goldie B. Floberg Ctr.,61115,Male,No,Yes
Goldie B. Floberg Ctr.,61115,Male,No,Yes
Good Shepherd Manor,60954,Male,Yes,Yes
Good Shepherd Manor,60954,Male,Yes,Yes
Good Shepherd Manor,60954,Male,Yes,Yes
Good Shepherd Manor,60954,Male,Yes,Yes
Good Shepherd Manor,60954,Male,Yes,Yes
Good Shepherd Manor,60954,Male,Yes,Yes
Good Shepherd Manor,60954,Male,Yes,Yes
Good Shepherd Manor,60954,Male,Yes,Yes
Good Shepherd Manor,60954,Male,Yes,Yes
Good Shepherd Manor,60954,Male,Yes,Yes
Good Shepherd Manor,60954,Male,No,Yes
Habilitative Systems,60612,,No,
Habilitative Systems,60624,Male,Yes,Yes
Habilitative Systems,60644,Co-Ed,Yes,Yes
Habilitative Systems,60644,Co-Ed,Yes,Yes
Habilitative Systems,60644,Co-Ed,Yes,Yes
Hawkins CILA Care,60620,Co-Ed,No,Yes
Health Care Management,62471,Co-Ed,Yes,Yes
Health Care Management,62471,Co-Ed,Yes,Yes
Health Care Management,62471,Co-Ed,Yes,Yes
Health Care Management,62565,Female,Yes,Yes
Health Care Management,62565,Male,No,Yes
Health Care Management,62565,Co-Ed,No,Yes
Health Care Management,62565,Female,No,Yes
Health Care Management,62565,Co-Ed,Yes,Yes
Health Care Management,62565,Co-Ed,Yes,Yes
Health Care Management,62839,Co-Ed,Yes,Yes
Health Care Management,62839,Co-Ed,Yes,Yes
Health Care Management,62839,,Yes,
Health Care Management,62839,Female,Yes,Yes
Heart to Heart Adult Day Care,60471,,No,
Help At Home LLC,60016,,No,
Help At Home LLC,60099,,No,
Help At Home LLC,60115,,No,
Help At Home LLC,60135,,No,
Help At Home LLC,60135,,No,
Help At Home LLC,60137,Female,No,Yes
Help At Home LLC,60174,,No,
Help At Home LLC,60425,Male,No,Yes
Help At Home LLC,60431,Male,No,Yes
Help At Home LLC,60431,,No,
Help At Home LLC,60506,Male,No,Yes
Help At Home LLC,60555,Female,No,Yes
Help At Home LLC,60555,,No,
Help At Home LLC,60565,,No,
Help At Home LLC,60586,,No,
Help At Home LLC,60901,Female,No,Yes
Help At Home LLC,60901,,No,
Help At Home LLC,60901,,No,
