City,County,Phone Number,Provider Name,State,Street Address,Zipcode,Service Type
MORTON GROVE,Cook,(847) 890-1157,"GAODE, ERIC",IL,Not Available,60076,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
GLENVIEW,Cook,(773) 780-1448,PROGRESSIVE BEHAVIOR SOLUTIONS,IL,4109 FLORENCE WAY,60025,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
GOLCONDA,Pope,(618) 658-2611,ARROWLEAF,IL,PO BOX 759 125 NORTH MARKET,62938,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
HARRISBURG,Saline,(618) 252-0275,COLEMAN TRI COUNTY SERVICES,IL,PO BOX 869 - 22 Veterans Drive,62946,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
HARVEY,Cook,(708) 473-6420,"BUZELLI, CORTNEY",IL,Not Available,60426,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
HARVEY,Cook,(708) 473-6420,FAMILY ASSOCIATION PLUS,IL,15746 VINE,60426,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Hillside,Cook,(708) 236-0979,ASPIRE OF ILLINOIS,IL,1815 SOUTH WOLF ROAD,60162,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Homewood,Cook,(773) 807-2144,STATE OF MIND MENTAL HEALTH AND COUNSELING SERVICES,IL,17911 LOS ANGELES AVE,60430,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
JACKSONVILLE,Morgan,(217) 479-2300,"PATHWAY SERVICES UNLIMITED, INC.",IL,1905 WEST MORTON AVE,62650,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
JOLIET,Will,(815) 725-2194,EASTER SEALS JOLIET REGION INC,IL,212 BARNEY DR,60435,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
JOLIET,Will,(815) 727-6666,CORNERSTONE SERVICES,IL,777 JOYCE RD,60435,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
JOLIET,Will,(815) 744-3500,CENTER FOR DISABILITY SERVICES,IL,311 S Reed Street,60436,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
JONESBORO,Union,(618) 614-4265,"LIVESAY, JIMMIE R",IL,Not Available,62952,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
JONESBORO,Union,(618) 833-2063,LINCOLN SQUARE INC,IL,202 S MAIN ST,62952,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
SKOKIE,Cook,(847) 982-2030,"SHORE COMMUNITY SERVICES, INC",IL,8350 LARAMIE AVE,60077,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
SKOKIE,Cook,(847) 967-1800,ORCHARD VILLAGE,IL,7660 Gross Point Road,60077,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
LANSING,Cook,(708) 227-0793,MOMENTUM BEHAVIOR SERVICES LLC,IL,1999 INDIANA AVE,60438,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
LEMONT,Will,(773) 592-2653,ACE BEHAVIOR SOLUTIONS INC,IL,13071 DUNMOOR DR,60439,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
SALEM,MARION,(314) 740-5639,BEHAVIOR ANALYSIS CORPORATION,IL,109 COUNTRY CLUB EST,62881,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
MACOMB,McDonough,(309) 837-5506,"ABA OF ILLINOIS, LLC",IL,220 N LAFAYETTE ST,61455,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
MACOMB,McDonough,(309) 837-5506,MOSAIC OF ILLINOIS,IL,220 N LAFAYETTE ST,61455,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
MATTESON,Cook,(708) 710-0640,APEX PEDIATRIC THERAPY SVCS,IL,4709 ABBEY LN,60443,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
MATTESON,Cook,(708) 720-3315,JOSEPH REHABILITATION CENTER,IL,21209 SHANNON AVENUE,60433,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
MCLEANSBORO,Hamilton,(618) 643-4321,TRADE INDUSTRIES,IL,"1020 E. Randolph St P.O. Box 70,",62859,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
METROPOLIS,Massac,(618) 524-8996,APPLIED BEHAVIORAL SERVICES LLC,IL,10 A and K Dr.,62960,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
METROPOLIS,Massac,(618) 524-8996,"KRYPTON, INC",IL,10 A and K Dr.,62960,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Rockford,Winnebago,(815) 871-9222,Best Practices Behavior & Support,IL,3708 Regal Ridge Circle,61114,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
MONMOUTH,Warren,(309) 734-3131,WARREN ACHIEVEMENT CENTER,IL,1220 East 2nd Ave,61642,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
MURPHYSBORO,Jackson,(618) 687-2378,SPECIALIZED TRAINING FOR ADULT REHABILITATION,IL,"20 North 13st Street, P.O. BOX 938",62966,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Carol Stream,DuPage,(630) 871-8696,RANGE OF MOTION INC,IL,"135 E. St. Charles Road, Ste G",60188,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Flossmoor,Cook,(708) 922-2111,NU-CARE INC,IL,19150 S KEDZIE AVE,60422,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(312) 666-1331,CHICAGO LIGHTHOUSE FOR THE BLIND,IL,1850 W ROOSEVELT RD,60608,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"Tinley Park,",Cook,(815) 464-3239,"SPRINGHEALTH BEHAVIOR HEALTH OF IL, LLC",IL,18440 Thompson Court Suite 104,60477,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"Tinley Park,",Cook,(815) 464-3239,ILLINOIS MENTOR COMMUNITY SERVICES INC,IL,18440 Thompson Court Suite 104,60477,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
TINLEY PARK,Cook,(708) 342-5200,ST COLETTA'S OF ILLINOIS,IL,18350 CROSSING DR,60487,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
BROWNSTOWN,Fayette,(618) 339-1063,"RICKETTS, TANEA",IL,Not Available,62418,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
BROOKFIELD,Cook,(708) 354-4547,COMMUNITY SUPPORT SERVICES INC,IL,9021 OGDEN AVE,60513,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
ARLINGTON HEIGHTS,Cook,(847) 870-7711,CLEARBROOK,IL,1835 WEST CENTRAL ROAD,60005,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
BREESE,Clinton,(618) 526-8800,COMMUNITY LINK INC,IL,"1665 N 4TH ST, PO BOX 157",62230,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Warrenville,DuPage,(630) 355-6533,"LITTLE FRIENDS, INC",IL,27555 DIEHL,60555,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
BLUE ISLAND,Cook,(708) 389-6578,BLUE ISLAND CITIZENS FOR PERSONS WITH DEVELOPMENTAL DISABILITIES,IL,2155 Broadway,60406,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
BLOOMINGDALE,DuPage,(630) 479-8936,"LEWIS, JENNIFER",IL,Not Available,60108,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
WEST CHICAGO,Cook,(888) 308-3728,Behavioral Perspective Inc.,IL,"245 W ROOSEVELT ROAD BUILDING 15, SUITE 103",60185,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
AURORA,Kane,(630) 966-4000,ASSOCIATION FOR INDIVIDUAL DEVELOPMENT,IL,309 W New Indian Trail Court,60506,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(847) 676-5398,STEINBERG BEHAVIOR SOLUTIONS,IL,3109 W NORTH SHORE AVE,60645,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(847) 626-4816,"NELSON, SCOTT",IL,6036 NORTH WINCHESTER,60660,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(773) 973-6300,MISERICORDIA HOME,IL,6300 N RIDGE,60660,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(773) 973-6300,CONSULTING PROFESSIONALS INC,IL,6300 N RIDGE,60660,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(773) 558-7953,"MAFTEI, NADIA CLAUDIA",IL,Not Available,60659,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(773) 371-5691,A PLUS AUTISM SOLUTIONS,IL,1111 W 14th Place 330,60608,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
WOOD RIVER,Madison,(618) 251-2175,WILLIAM M BEDELL ACHIEVEMENT,IL,P O BOX 349 - 400 S Main,62095,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(773) 305-5000,SEARCH DEVELOPMENTAL CENTER,IL,1925 N CLYBOURN AVE STE 200,60614,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
Schaumburg,DuPage,(708) 351-2676,"SALHA, LORI",IL,Not Available,60173,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(773) 274-9760,LEEDA SERVICES OF ILLINOIS INC,IL,7344 N. Western Avenue,60645,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(773) 248-5135,ALEXIS LYBROOK TAUBERT PHD LTD,IL,1001 N MILWAUKEE AVE #304,60622,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(404) 849-8248,"WINBUSH, KELLYE M",IL,Not Available,60615,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(312) 243-6097,ESPERANZA COMMUNITY SERVICES,IL,520 N MARSHFIELD AVE,60622,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(312) 346-6230,ENVISION UNLIMITED,IL,8 S MICHIGAN AVE SUITE 1700,60603,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO,Cook,(312) 451-4814,"SAENZ, ABRAHAM",IL,Not Available,60629,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
ANNA,Union,(618) 833-7418,R and J ENTERPRISES COUNTRY LIVING INC,IL,221 EAST AVE,62906,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
ANNA,Union,(618) 697-2238,"TWEEDY, RICHARD",IL,Not Available,62906,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
ANNA,union,(618) 528-0273,"BEISNER, TIFFANY",IL,Not Available,62906,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
ALTON,Madison,(618) 465-0044,CHALLENGE UNLIMITED INC,IL,4 EMMIE L KAUS LN,62002,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CHICAGO HEIGHTS,Cook,(708) 755-8030,NEW STAR INC,IL,1005 W END AVE,60611,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
WATERLOO,Monroe,(618) 939-4444,HUMAN SUPPORT SERVICES,IL,"988 N. Illinois Route 3, PO BOX 146",62298,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
ALSIP,Cook,(708) 969-4109,SOLID GROUND BEHAVIORAL SRVCS,IL,11940 S SPRINGFIELD AVE,60803,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
ALSIP,Cook,(708) 371-9700,SERTOMA CENTRE INC,IL,4343 W 123RD ST,60803,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
COUNTRYSIDE,Cook,(708) 352-3580,HELPING HAND CENTER,IL,9649 W 55TH ST,60525,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
VIENNA,Johnson,(618) 658-2005,"ALSTON, DANA",IL,Not Available,62995,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CICERO,Cook,(708) 863-3803,UNITED CEREBRAL PALSY SEGUIN OF GREATER CHICAGO,IL,3100 South Central Ave,60804,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
CARBONDALE,Jackson,(618) 303-9282,BEHAVIORAL SERVICES OF S. IL,IL,7 BLACKBERRY LN,62903,"Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
KARNAK,Pulaski,618-634 9401,MAP TRAINING CENTER INC,IL,504 E 7TH STREET,62956,Community Day Services
GENOA,DeKalb,815-784-5146,"GENESIS DTC, LLC",IL,350 SYCAMORE ROAD,60135,Community Day Services
CHICAGO,Cook,312-829 2787,ARTS OF LIFE INC,IL,2110 W Carroll Ave,60612,Community Day Services
EVANSTON,Cook,847-328 4090,RIMLAND SERVICES NFP,IL,1265 HARTREY AVE,60202,Community Day Services
GENEVA,Kane,630-529 2018,MARKLUND CHILDRENS HOME,IL,1 S 450 WYATT DR,60134,Community Day Services
BRADLEY,Kankakee,815-932 4022,KANKAKEE COUNTY TRAINING CENTER,IL,333 S. SCHUYLER AVE,60915,Community Day Services
OREGON,Ogle,815-732 2126,VILLAGE OF PROGRESS INC,IL,"710 S 13th St, P.O. Box 418",61061,Community Day Services
GILLESPIE,Macoupin,217-839 4431,ILLINOIS VALLEY ECONOMIC DEVELOPMENT CORPORATION,IL,PO BOX 88 223 S MACOUPIN ST,62033,Community Day Services
JONESBORO,Union,618-833 4774,CHAMNESS CARE INC,,PO BOX 1,62952,Community Day Services
Champaign,Champaign,217-356-5164,SWANN SPECIAL CARE CENTER,IL,109 Kenwood Rd,61821,Community Day Services
CLINTON,DeWitt,217-935 2218,Encore Developmental Services,IL,10840 Route 10 East PO BOX 616,61727,Community Day Services
Moline,Rock Island,309-797-0200,"ACTIVE DAY IN, INC",IL,"4011 Avenue of the Cities, Suite 102",61265,Community Day Services
CHICAGO,Cook,312-777 4111,NORTH CENTER FOR HANDICAPPED CHILDREN,IL,5104 WEST BELMONT AVENUE,60641,Community Day Services
LANARK,Carroll,815-493 2321,ROLLING HILLS CENTER,IL,201 IL Rt 64,61046,Community Day Services
CHICAGO,Cook,312-722 7900,"BOBBY E. WRIGHT CCMH CENTER, INC.",IL,5002 W Madison St,60644,Community Day Services
CHICAGO,Cook,312-666 1331,CHICAGO LIGHTHOUSE FOR THE BLIND,IL,1850 W ROOSEVELT RD,60608,Community Day Services
CHICAGO,Cook,312-545-2924,JCFS CHICAGO,IL,6639 N Kedzie Ave,60645,Community Day Services
FLORA,Clay,618-662 4916,CLAY COUNTY REHAB CENTER INC,IL,#1 Commercial Drive,62839,Community Day Services
GRANITE CITY,Madison,618-452 8165,NEW OPPORTUNITIES INC,IL,1510 W SEVENTH ST,62040,Community Day Services
Morton,Tazewell,309-266 9781,"APOSTOLIC CHRISTIAN LIFEPOINTS, INC",IL,2073 Veterans Road,61550,Community Day Services
GODFREY,Madison,618-466 0367,BEVERLY FARM FOUNDATION,IL,6301 Humbert Road,62035,Community Day Services
Red Bud,Randolph,618-282-6233,ComWell,IL,10257 State Rt 3,62278,Community Day Services
GALENA,Jo Daviess,815-777 2211,THE WORKSHOP,IL,706 S. West St PO BOX 6087,61036,Community Day Services
HOMEWOOD,Cook,708-339-0110,PROGRESSIVE THERAPEUTIC,IL,1141 WEST 175TH ST,60430,Community Day Services
LAKE ZURICH,Lake,847-438 5050,MOUNT ST JOSEPH,IL,24955 N US HIGHWAY 12,60047,Community Day Services
DANVILLE,Vermilion,217-446 1146,WORKSOURCE ENTERPRISE NFP,IL,3713 N Vermillion,61832,Community Day Services
CANTON,Fulton,309-647 6510,"FULTON COUNTY REHABILITATION CENTER, INC.",IL,500 N MAIN STREET,61520,Community Day Services
GALESBURG,Knox,309-344 2600,"KCCDD, INC.",IL,2015 WINDISH DR,61401,Community Day Services
MORRIS,Grundy,815-942 6133,ILLINOIS VALLEY INDUSTRIES INC,IL,1033 THIRD AVE,60450,Community Day Services
SKOKIE,Cook,847-674 4169,THE DOUGLAS CENTER,IL,3445 W Howard St,60076,Community Day Services
MOUNT VERNON,Jefferson,618-242 1994,Comprehensive Connections,IL,16338 N IL HIGHWAY 37,62864,Community Day Services
ROCKFORD,Winnebago,815-964 9275,BARBARA OLSON CENTER OF HOPE,IL,3206 N Central Ave,61101,Community Day Services
FAIRVIEW HEIGHTS,St Clair,618-398 7500,ILLINOIS CENTER FOR AUTISM,IL,548 S RUBY LN,62208,Community Day Services
SPRINGFIELD,Sangamon,217-789 0400,LAND OF LINCOLN GOODWILL INDUSTRIES,IL,1220 OUTER PARK DRIVE,62704,Community Day Services
SPRINGFIELD,Sangamon,217-525 8271,SPRINGFIELD DEVELOPMENTAL CENTER,IL,4595 LAVERNA ROAD,62707,Community Day Services
Joliet,Will,815-744-3500,United Cerebral Palsy - Center for Disability Services,IL,311 S Reed Street,60436,Community Day Services
MT CARMEL,Wabash,618-262 8614,WABASH AREA VOCATIONAL INC,IL,1310 W 3rd PO Box 487,62863,Community Day Services
Waterloo,Monroe,618-939-4444,Human Support Services,IL,988 N Illinois Route 3,62298,Community Day Services
ALTON,Madison,618-465 0044,CHALLENGE UNLIMITED INC,IL,4 EMMIE L KAUS LN,62002,Community Day Services
ANNA,Union,618-833 4956,JR'S CENTRE,IL,100 Florsheim Drive,62906,Community Day Services
CRESTWOOD,Cook,708-389-0555,ELIM CHRISTIAN SERVICES,IL,13020 S CENTRAL AVE,60418,Community Day Services
TINLEY PARK,Cook,708-444 1012,GRAND PRAIRIE SERVICES,IL,17746 S OAK PARK AVE,60477,Community Day Services
CHICAGO,Cook,773-784 3200,GATEWAY TO LEARNING,IL,4925 N LINCOLN AVE,60625,Community Day Services
MT STERLING,Brown,217-773 3325,MENTAL HEALTH CENTERS OF WESTERN ILLINOIS,IL,700 SE CROSS ST,62353,Community Day Services
TINLEY PARK,Cook,708-342-5200,ST COLETTA'S OF ILLINOIS,IL,18350 CROSSING DR,60487,Community Day Services
Chicago,Cook,773 772-7170,ASSOCIATION HOUSE OF CHICAGO,IL,1116 N Kedzie,60651,Community Day Services
CARTERVILLE,Williamson,618-985 8351,"PROGRESS PORT, INC",IL,1120 NORTH DIVISION STREET,62918,Community Day Services
BELLEVILLE,St Clair,618-234 1992,ST CLAIR ASSOCIATED VOCATIONAL ENTERPRISES INC,IL,3001 SAVE RD.,62221,Community Day Services
Lisle,DuPage,630-620 2222,RAY GRAHAM ASSOCIATION,IL,"901 Warrenville Road, Suite 500",60532,"Community Day Services, Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
LINCOLNSHIRE,Lake,847-634 3973,RIVERSIDE FOUNDATION,IL,14588 WEST HIGHWAY 22,60069,"Community Day Services, Community Integrated Living Arrangement Services"
NEW LENOX,Will,815-485 6197,TRINITY SERVICES INC,IL,301 Veterans Parkway,60451,"Community Day Services, Community Integrated Living Arrangement Services"
SANDWICH,DeKalb,815-786 8468,OPEN DOOR REHAB CENTER,IL,405 S WELLS ST,60548,"Community Day Services, Community Integrated Living Arrangement Services"
GALESBURG,Knox,309-344-2323,BRIDGEWAY INC,IL,2323 Windish Dr,61401,"Community Day Services, Community Integrated Living Arrangement Services"
SPRINGFIELD,Sangamon,217-525 1064,MENTAL HEALTH CENTERS OF CENTRAL ILLINOIS,IL,710 N 8TH ST,62702,"Community Day Services, Community Integrated Living Arrangement Services"
LANSING,Cook,708-474 1540,LARC,IL,19043 WENTWORTH,60438,"Community Day Services, Community Integrated Living Arrangement Services"
Rock Island,Rock Island,309-786 6474,THE ARC OF THE QUAD CITIES AREA,IL,4016 9th St,61201,"Community Day Services, Community Integrated Living Arrangement Services"
SPRINGFIELD,Sangamon,217-793 2100,SPARC,IL,232 BRUNS LANE,62702,"Community Day Services, Community Integrated Living Arrangement Services"
WATSEKA,Iroquois,815-432 5288,THE ARC OF IROQUOIS COUNTY,IL,700 East Elm St,60970,"Community Day Services, Community Integrated Living Arrangement Services"
WHEATON,DuPage,630-715 7278,CHERUBIM DEVELOPMENTAL TRAINING PROGRAM,IL,285 West Loop Road,60189,"Community Day Services, Community Integrated Living Arrangement Services"
CENTRALIA,Marion,618-533 4423,"KASKASKIA WORKSHOP, INC.",IL,299 SWAN AVE P O BOX 1946,62801,"Community Day Services, Community Integrated Living Arrangement Services"
JOLIET,Will,815-727-6666,CORNERSTONE SERVICES,IL,777 JOYCE RD,60435,"Community Day Services, Community Integrated Living Arrangement Services"
MOMENCE,Kankakee,815-472 3700,GOOD SHEPHERD MANOR INC,IL,4129 N. State RTE 1 &17; PO BOX 260,60954,"Community Day Services, Community Integrated Living Arrangement Services"
CHAMPAIGN,Champaign,217-356 9176,DEVELOPMENTAL SERVICES CENTER,IL,1304 W BRADLEY,61821,"Community Day Services, Community Integrated Living Arrangement Services"
MCHENRY,McHenry,815-344-1230,PIONEER CENTER FOR HUMAN SERVICES,IL,4031 W. DAYTON ST,60050,"Community Day Services, Community Integrated Living Arrangement Services"
MONMOUTH,Warren,309-734 3131,WARREN ACHIEVEMENT CENTER,IL,1220 East 2nd Ave,61642,"Community Day Services, Community Integrated Living Arrangement Services"
MONTICELLO,Piatt,217-762 5371,PIATT COUNTY MENTAL HEALTH CENTER,IL,1921 N MARKET ST,61856,"Community Day Services, Community Integrated Living Arrangement Services"
JEFFERSON,,920-674 4330,ST COLETTA OF WISCONSIN INC,WI,N4637 COUNTY ROAD Y,53549,"Community Day Services, Community Integrated Living Arrangement Services"
JACKSONVILLE,Morgan,217-479 2300,"PATHWAY SERVICES UNLIMITED, INC.",IL,1905 WEST MORTON AVE,62650,"Community Day Services, Community Integrated Living Arrangement Services"
JACKSONVILLE,Morgan,217-245 9504,ELM CITY REHABILITATION CENTER,IL,1314 W WALNUT,62650,"Community Day Services, Community Integrated Living Arrangement Services"
CHARLESTON,Coles,217-348 0127,CCAR INDUSTRIES,IL,1530 Lincoln Ave,61920,"Community Day Services, Community Integrated Living Arrangement Services"
SKOKIE,Cook,847-967 1800,ORCHARD VILLAGE,IL,7660 Gross Point Road,60077,"Community Day Services, Community Integrated Living Arrangement Services"
Hillside,Cook,708-236 0979,ASPIRE OF ILLINOIS,IL,1815 SOUTH WOLF ROAD,60162,"Community Day Services, Community Integrated Living Arrangement Services"
NASHVILLE,Washington,618-327 4461,WASHINGTON COUNTY VOCATIONAL WORKSHOP,IL,781 Holzhauer Dr PO Box 273,62263,"Community Day Services, Community Integrated Living Arrangement Services"
TREMONT,Tazewell,309-347 7148,"TAZEWELL COUNTY RESOURCE CENTER, INC.",IL,21310 Illinois Rt #9,61568,"Community Day Services, Community Integrated Living Arrangement Services"
HERRIN,Williamson,618-988-8178,OUR DIRECTIONS INC,IL,PO BOX 2084,62948,"Community Day Services, Community Integrated Living Arrangement Services"
TEUTOPOLIS,Effingham,217-705 4300,COMMUNITY SUPPORT SYSTEM,IL,618 W MAIN ST,62401,"Community Day Services, Community Integrated Living Arrangement Services"
TAYLORVILLE,Christian,217-824 9675,CHRISTIAN COUNTY MENTAL HEALTH ASSOCIATION,IL,PO BOX 438 707 MCADAM DR,62568,"Community Day Services, Community Integrated Living Arrangement Services"
HARRISBURG,Saline,618-252 0275,COLEMAN TRI COUNTY SERVICES,IL,PO BOX 869 - 22 Veterans Drive,62946,"Community Day Services, Community Integrated Living Arrangement Services"
BROOKFIELD,Cook,708-354-4547,COMMUNITY SUPPORT SERVICES INC,IL,9021 OGDEN AVE,60513,"Community Day Services, Community Integrated Living Arrangement Services"
SHELBYVILLE,Shelby,217-774 5587,SHELBY COUNTY COMMUNITY SERVICES INC,IL,1810 W S 3RD STREET,62565,"Community Day Services, Community Integrated Living Arrangement Services"
BREESE,Clinton,618-526-8800,COMMUNITY LINK INC,IL,"1665 N 4TH ST, PO BOX 157",62230,"Community Day Services, Community Integrated Living Arrangement Services"
MCLEANSBORO,Hamilton,618-643 4321,TRADE INDUSTRIES,IL,"1020 E. Randolph St P.O. Box 70,",62859,"Community Day Services, Community Integrated Living Arrangement Services"
BLUE ISLAND,Cook,708-389 6578,BLUE ISLAND CITIZENS FOR PERSONS WITH DEVELOPMENTAL DISABILITIES,IL,2155 Broadway,60406,"Community Day Services, Community Integrated Living Arrangement Services"
KEWANEE,Henry,309-852 4626,"ABILITIES PLUS, INC.",IL,1100 N East ST,61443,"Community Day Services, Community Integrated Living Arrangement Services"
MACOMB,McDonough,309-837 5506,MOSAIC OF ILLINOIS,IL,220 N LAFAYETTE ST,61455,"Community Day Services, Community Integrated Living Arrangement Services"
WEST FRANKFORT,Franklin,618-937 6483,CENTERSTONE OF ILLINOIS INC,IL,902 W MAIN STREET,62896,"Community Day Services, Community Integrated Living Arrangement Services"
GOLCONDA,Pope,618-658 2611,ARROWLEAF,IL,PO BOX 759 125 NORTH MARKET,62938,"Community Day Services, Community Integrated Living Arrangement Services"
MURPHYSBORO,Jackson,618-687 2378,SPECIALIZED TRAINING FOR ADULT REHABILITATION,IL,"20 North 13st Street, P.O. BOX 938",62966,"Community Day Services, Community Integrated Living Arrangement Services"
NORMAL,McLean,309-451 8888,MARCFIRST,IL,2000 Jacobssen Drive,61761,"Community Day Services, Community Integrated Living Arrangement Services"
VANDALIA,Fayette,618-283 0638,"FAYCO ENTERPRISES, INC.",IL,1313 SUNSET DR,62471,"Community Day Services, Community Integrated Living Arrangement Services"
LOVES PARK,Winnebago,815-654 6100,MILESTONE INC,IL,4060 MCFARLAND RD,61111,"Community Day Services, Community Integrated Living Arrangement Services"
OAK PARK,Cook,708-524-1050,OAK-LEYDEN DEVELOPMENT SERVICE,IL,411 W CHICAGO AVE,60302,"Community Day Services, Community Integrated Living Arrangement Services"
OLYMPIA FIELDS,Cook,708-283 1530,PROGRESSIVE HOUSING INC,IL,20180 GOVERNORS DRIVE SUITE 300,60461,"Community Day Services, Community Integrated Living Arrangement Services"
ARLINGTON HEIGHTS,Cook,847-870 7711,CLEARBROOK,IL,1835 WEST CENTRAL ROAD,60005,"Community Day Services, Community Integrated Living Arrangement Services"
CHICAGO,Cook,773-594 0921,ACTIVE VISIONS INC,IL,5721 N. Central,60646,"Community Day Services, Community Integrated Living Arrangement Services"
OTTAWA,LaSalle,815-434 0737,OTTAWA FRIENDSHIP HOUSE,IL,1718 N 2525 RD,61350,"Community Day Services, Community Integrated Living Arrangement Services"
STREATOR,Livingston,815-673 5574,STREATOR UNLIMITED INC,IL,305 N Sterling St PO Box 706,61364,"Community Day Services, Community Integrated Living Arrangement Services"
SULLIVAN,Moultrie,217-728 7396,"MOULTRIE COUNTY BEACON, INC.",IL,401 W WATER,61951,"Community Day Services, Community Integrated Living Arrangement Services"
SYCAMORE,DeKalb,815-895 5108,OPPORTUNITY HOUSE INC,IL,357 N. CALIFORNIA ST,60178,"Community Day Services, Community Integrated Living Arrangement Services"
Chicago,Cook,708-560-4400,GARDEN CENTER SERVICES,IL,10444 S Kedzie,60655,"Community Day Services, Community Integrated Living Arrangement Services"
CHICAGO,Cook,773-261 2252,"HABILITATIVE SYSTEMS, INC.",IL,415 S KILPATRICK,60644,"Community Day Services, Community Integrated Living Arrangement Services"
Orland Park,Cook,708-429-1260,CTF ILLLINOIS,IL,18230 Orland Parkway,60467,"Community Day Services, Community Integrated Living Arrangement Services"
Des Plaines,Cook,847-390-1434,LUTHERAN SOCIAL SERVICES OF ILLINOIS,IL,1001 E Touhy Avenue Suite 50,60018,"Community Day Services, Community Integrated Living Arrangement Services"
ANNA,Union,618-833-8525,REHABILITATION AND VOCATIONAL EDUCATION PROGRAM,IL,214 W DAVIE STREET,62906,"Community Day Services, Community Integrated Living Arrangement Services"
