Provider Name,Address,Phone Number,Verified,Matched Data
NEW STAR INC,1005 W END AVE,(708) 755-8030,True,"{'id': '7S02g_foeILFaEt5liKq2A', 'alias': 'new-star-transmission-inc-chicago', 'name': 'New Star Transmission Inc', 'image_url': 'https://s3-media2.fl.yelpcdn.com/bphoto/7T5KLOYttIqr4qPvbLUbhg/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/new-star-transmission-inc-chicago?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 19, 'categories': [{'alias': 'transmissionrepair', 'title': 'Transmission Repair'}], 'rating': 2.3, 'coordinates': {'latitude': 41.9434594, 'longitude': -87.7308131}, 'transactions': [], 'location': {'address1': '3415 N Milwaukee Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60641', 'country': 'US', 'state': 'IL', 'display_address': ['3415 N Milwaukee Ave', 'Chicago, IL 60641']}, 'phone': '+17737360880', 'display_phone': '(773) 736-0880', 'distance': 6115.442300596768, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0730', 'end': '1730', 'day': 0}, {'is_overnight': False, 'start': '0730', 'end': '1730', 'day': 1}, {'is_overnight': False, 'start': '0730', 'end': '1730', 'day': 2}, {'is_overnight': False, 'start': '0730', 'end': '1730', 'day': 3}, {'is_overnight': False, 'start': '0730', 'end': '1730', 'day': 4}, {'is_overnight': False, 'start': '0830', 'end': '1300', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
ORCHARD VILLAGE,7660 Gross Point Road,(847) 967-1800,True,"{'id': 'fJ-iYnEmqdXjvi0Mv6nCTg', 'alias': 'orchard-village-skokie-2', 'name': 'Orchard Village', 'image_url': 'https://s3-media4.fl.yelpcdn.com/bphoto/Yxhz5x-VeXA3646QgiL6Sw/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/orchard-village-skokie-2?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 2, 'categories': [{'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}], 'rating': 3.0, 'coordinates': {'latitude': 42.020964, 'longitude': -87.773347}, 'transactions': [], 'location': {'address1': '7660 Gross Point Rd', 'address2': None, 'address3': None, 'city': 'Skokie', 'zip_code': '60077', 'country': 'US', 'state': 'IL', 'display_address': ['7660 Gross Point Rd', 'Skokie, IL 60077']}, 'phone': '+18479671800', 'display_phone': '(847) 967-1800', 'distance': 15108.604689782765, 'business_hours': [], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
R and J ENTERPRISES COUNTRY LIVING INC,221 EAST AVE,(618) 833-7418,True,"{'id': 'Rq9cpBiN4IlWNVllhcFFFw', 'alias': 'abt-electronics-glenview-10', 'name': 'Abt Electronics', 'image_url': 'https://s3-media2.fl.yelpcdn.com/bphoto/JFuBrdz-tm3vWlD1wCdAlw/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/abt-electronics-glenview-10?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 2961, 'categories': [{'alias': 'electronics', 'title': 'Electronics'}, {'alias': 'furniture', 'title': 'Furniture Stores'}, {'alias': 'homeappliancerepair', 'title': 'Appliances & Repair'}], 'rating': 4.0, 'coordinates': {'latitude': 42.077846, 'longitude': -87.863583}, 'transactions': [], 'price': '$$', 'location': {'address1': '1200 N Milwaukee Ave', 'address2': '', 'address3': '', 'city': 'Glenview', 'zip_code': '60025', 'country': 'US', 'state': 'IL', 'display_address': ['1200 N Milwaukee Ave', 'Glenview, IL 60025']}, 'phone': '+18008603577', 'display_phone': '(800) 860-3577', 'distance': 24587.514578473536, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '1030', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}], 'attributes': {'business_temp_closed': None, 'open24_hours': None, 'waitlist_reservation': None}}"
RAY GRAHAM ASSOCIATION,"901 Warrenville Road, Suite 500",630-620 2222,True,"{'id': 'rPPqBTrLET0ZqXQM_rgKmQ', 'alias': 'ray-graham-association-elmhurst', 'name': 'Ray Graham Association', 'image_url': '', 'is_closed': False, 'url': 'https://www.yelp.com/biz/ray-graham-association-elmhurst?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 1, 'categories': [{'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}], 'rating': 1.0, 'coordinates': {'latitude': 41.8750267028809, 'longitude': -87.9549179077148}, 'transactions': [], 'location': {'address1': '420 W Madison St', 'address2': '', 'address3': '', 'city': 'Elmhurst', 'zip_code': '60126', 'country': 'US', 'state': 'IL', 'display_address': ['420 W Madison St', 'Elmhurst, IL 60126']}, 'phone': '+16308344106', 'display_phone': '(630) 834-4106', 'distance': 23182.562394193075, 'business_hours': [], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
SPARC,232 BRUNS LANE,(217) 793-2100,True,"{'id': 'AR2ZsU42YdnWb6E9X8T-2w', 'alias': 'sparc-chiropractic-aurora-aurora', 'name': 'SPARC Chiropractic - Aurora', 'image_url': 'https://s3-media4.fl.yelpcdn.com/bphoto/VVmHAuTeuLXYPgoJom5aUA/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/sparc-chiropractic-aurora-aurora?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 15, 'categories': [{'alias': 'chiropractors', 'title': 'Chiropractors'}, {'alias': 'acupuncture', 'title': 'Acupuncture'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}], 'rating': 5.0, 'coordinates': {'latitude': 41.74063, 'longitude': -88.22962}, 'transactions': [], 'location': {'address1': '896 S Frontenac St', 'address2': 'Ste 100', 'address3': '', 'city': 'Aurora', 'zip_code': '60504', 'country': 'US', 'state': 'IL', 'display_address': ['896 S Frontenac St', 'Ste 100', 'Aurora, IL 60504']}, 'phone': '+16308002720', 'display_phone': '(630) 800-2720', 'distance': 49252.00261948644, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0900', 'end': '1300', 'day': 0}, {'is_overnight': False, 'start': '1500', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1400', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}], 'attributes': {'business_temp_closed': None, 'menu_url': 'https://www.sparcchiropractic.com/acupuncture', 'waitlist_reservation': None}}"
STATE OF MIND MENTAL HEALTH AND COUNSELING SERVICES,17911 LOS ANGELES AVE,(773) 807-2144,True,"{'id': '2EfvnikLa1HK0O3ulMpkEQ', 'alias': 'individual-and-family-connection-chicago', 'name': 'Individual And Family Connection', 'image_url': 'https://s3-media2.fl.yelpcdn.com/bphoto/XvA1di-wk6HDQGBYgHUv7w/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/individual-and-family-connection-chicago?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 17, 'categories': [{'alias': 'c_and_mh', 'title': 'Counseling & Mental Health'}], 'rating': 4.4, 'coordinates': {'latitude': 41.91455044589513, 'longitude': -87.6777823562086}, 'transactions': [], 'location': {'address1': '1806 N Damen Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['1806 N Damen Ave', 'Chicago, IL 60647']}, 'phone': '+17732700469', 'display_phone': '(773) 270-0469', 'distance': 1044.2524929015576, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0700', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1600', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1600', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
STEINBERG BEHAVIOR SOLUTIONS,3109 W NORTH SHORE AVE,(847) 676-5398,True,"{'id': 'v9TtwkqVDsA7Sju7PEmq6w', 'alias': 'steinberg-behavior-solutions-chicago', 'name': 'Steinberg Behavior Solutions', 'image_url': 'https://s3-media4.fl.yelpcdn.com/bphoto/hjxzd8hhlT3NpYIUboUqBw/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/steinberg-behavior-solutions-chicago?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 1, 'categories': [{'alias': 'c_and_mh', 'title': 'Counseling & Mental Health'}, {'alias': 'behavioranalysts', 'title': 'Behavior Analysts'}], 'rating': 5.0, 'coordinates': {'latitude': 42.003483, 'longitude': -87.707418}, 'transactions': [], 'location': {'address1': '3109 W N Shore Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60076', 'country': 'US', 'state': 'IL', 'display_address': ['3109 W N Shore Ave', 'Chicago, IL 60076']}, 'phone': '+18476765398', 'display_phone': '(847) 676-5398', 'distance': 11207.503283532438, 'business_hours': [{'open': [{'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}], 'attributes': {'business_temp_closed': None, 'waitlist_reservation': None}}"
"Supporting Community Independence, LLC",1 Polo Grounds Ct,(618) 806-4344,True,"{'formatted_address': '1 Polo Grounds Court, Bethalto, IL 62010, USA', 'name': '1 Polo Grounds Court', 'place_id': 'ChIJ1y5hwqVe34cRKWVefoROsZ8'}"
THE ARC OF THE QUAD CITIES AREA,4016 9th St,(309) 786-6474,True,"{'id': 'pbEiXam9YJL3neCYHGwLUA', 'alias': 'alinea-chicago', 'name': 'Alinea', 'image_url': 'https://s3-media2.fl.yelpcdn.com/bphoto/tuT7zIGF0ChsjyMwHWMPwQ/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/alinea-chicago?adjust_creative=zsVA8YuumurWDSuwPf69Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zsVA8YuumurWDSuwPf69Hw', 'review_count': 2693, 'categories': [{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'modern_european', 'title': 'Modern European'}], 'rating': 4.4, 'coordinates': {'latitude': 41.9134194160823, 'longitude': -87.6482384681229}, 'transactions': ['pickup'], 'price': '$$$$', 'location': {'address1': '1723 N Halsted St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60614', 'country': 'US', 'state': 'IL', 'display_address': ['1723 N Halsted St', 'Chicago, IL 60614']}, 'phone': '+13128670110', 'display_phone': '(312) 867-0110', 'distance': 2610.289488504425, 'business_hours': [{'open': [{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}], 'attributes': {'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}}"
TRINITY SERVICES INC,301 Veterans Parkway,(815) 485-6197,True,"{'formatted_address': '301 Veterans Pkwy, New Lenox, IL 60451, United States', 'name': 'Trinity Services, Inc.', 'place_id': 'ChIJJTvrwdpoDogRR7kY3-kXoY8'}"
UNITED CEREBRAL PALSY SEGUIN OF GREATER CHICAGO,3100 South Central Ave,(708) 863-3803,True,"{'formatted_address': '3100 Central Ave, University Park, IL 60484, USA', 'name': '3100 Central Ave', 'place_id': 'EjAzMTAwIENlbnRyYWwgQXZlLCBVbml2ZXJzaXR5IFBhcmssIElMIDYwNDg0LCBVU0EiMRIvChQKEgkL9OC_uhEOiBHmuLjtN889hxCcGCoUChIJc_qBA789DogRy8rv7ac14gY'}"
